Publicity name,Primary discipline,Secondary discipline,Primary institution type,Secondary institution type,Web site,Phone number,EMAIL,email_2nd,ad1,ad2,cit,STA,zip,Primary contact person,Mission statement collected for Operating Support applicants only and updated with each year if organization reapplies,APP,FY,LNAM sort,Legal name
Actors Theater of Minnesota,"Theater, general",,Performing Group,,https://www.actorsmn.org/,(651) 290-2290 ,bill@ActorsMN.org,,275 E 4th St,,St Paul,MN,55101,"William Collins, Managing Director","The mission of Actors Theater of Minnesota is to produce, present, and educate through an eclectic and unique mix of intimate live theater, professional cabaret, and small classes that connect with Minnesota audiences.",73570,2019,Actors Theater of Minnesota,Actors Theater of Minnesota
Andria Theatre,"Theater, general",Visual arts,Performing Group - Community,Performance Facility,https://andriatheatre.org,(320) 762-8300 ,office@andriatheatre.org,ann@alexandriaareaarts.org,618 Broadway St,,Alexandria,MN,56308,"Ann Hermes, Executive Director",Andria Theatre will enrich people's lives while providing unique performance and educational opportunities.,73113,2019,Alexandria Area Arts Association,Alexandria Area Arts Association
American Craft Council,Crafts,Folk/Traditional crafts/vis arts,Arts Service Organization,,https://craftcouncil.org/,(612) 206-3117 ,gallen@craftcouncil.org,,1224 Marshall St NE,Ste 200,Minneapolis,MN,55413,"Gregory Allen, Finance/Admin Director",We champion craft.,71259,2019,American Craft Council,American Craft Council
American Swedish Institute,Multidisciplinary,Visual arts,Cultural Series Organization,Museum - Other,https://www.asimn.org/,(612) 870-3354 ,christys@asimn.org,,2600 Park Ave,,Minneapolis,MN,55407,"Christiana Stolpestad, Dev/Membership Director","The American Swedish Institute is a gathering place for all people to share experiences around themes of culture, migration, the environment, and the arts, informed by enduring links to Sweden.",71738,2019,American Swedish Institute,American Swedish Institute
Ananya Dance Theatre,Dance,,Performing Group,,http://www.ananyadancetheatre.org/,(612) 486-2238 ,gary.peterson@ananyadancetheatre.org,admin@ananyadancetheatre.org,PO Box 2427,,Minneapolis,MN,55402-0427,"Gary Peterson, Managing Director","We combine the metaphor and poetry of contemporary Indian dance with a philosophy of social justice to create original dance theater about the extraordinary work and dreams of women around the world, and to inspire audiences through visual and emotional engagement. The essence of our mission is summarized by the tagline: People Powered Dances of Transformation.",73538,2019,Ananya Dance Theatre,Ananya Dance Theatre
The Anderson Center,Multidisciplinary,,Arts Center,Arts Service Organization,http://www.andersoncenter.org/,(651) 388-2009 ,pfbradley@gmail.com,,163 Tower View Dr,,Red Wing,MN,55066,"Peter Bradley, Grantwriter","The Anderson Center's mission is to uphold the unique wealth of the arts in the region; to develop, foster, and promote the creation of works by writers and artists in all media; to present arts programs readily accessible to children and families; and to provide leadership and services that help to ensure a strong, healthy arts community and a greater recognition of the value of the arts in society.",73100,2019,"Anderson Center for Interdisciplinary Studies, Inc.","Anderson Center for Interdisciplinary Studies, Inc."
Saint Paul Almanac,Literature,Visual arts,Arts Center,Independent Press,http://www.saintpaulalmanac.org/,(651) 785-6268 ,kimberly@saintpaulalmanac.org,saintpaulalmanac@gmail.com,275 4th St E,Ste 701,St Paul,MN,55101,"Kimberly Nightingale, Executive Director","Saint Paul Almanac is a literary-centered arts organization. We share stories across cultures and cultivate dialogue to promote understanding, relationships, and collaborative action.",73332,2019,Arcata Press,Arcata Press
Artspace,Multidisciplinary,,Arts Service Organization,,http://www.artspace.org/,(612) 333-9012 ,dana.mattice@artspace.org,,250 N 3rd Ave Ste 400,,Minneapolis,MN,55401-1641,"Dana Mattice, Grant Writer/Comm Specialist","Artspace's mission is to create, foster, and preserve affordable and sustainable space for artists and arts organizations.",71594,2019,"Artspace Projects, Inc.","Artspace Projects, Inc."
ArtStart,Visual arts,Multidisciplinary,Arts Center,Arts Service Organization,https://www.artstart.org/,(651) 698-2787 ,carol@artstart.org,,1459 St Clair Ave,,St Paul,MN,55105-2338,"Carol Sirrine, Executive Director","ArtStart inspires artistic creativity and illuminates the connections among people, ideas, and the environment through quality arts education experiences.",73109,2019,ArtStart,ArtStart
"Ashland Productions, Inc.",Theater,Design arts,Performing Group - Community,Performing Group for Youth,http://www.ashlandproductions.org/,(651) 308-8720 ,rob@ashlandproductions.org,info@ashlandproductions.org,2100 White Bear Ave,,Maplewood,MN,55109,"Rob Sutherland, Artistic Director","Ashland Productions empowers young people to find their voice by igniting the creative mind, fostering the security of belonging, and developing performance and leadership skills through multigenerational mentorship, excellent theater productions, and arts education.",73056,2019,"Ashland Productions, Inc.","Ashland Productions, Inc."
